doi,url,type,title,authors,author_count,year,journal,publisher,abstract,subjects,reference_count,cited_by_count,references,month
10.5220/0013550800004664,https://doi.org/10.5220/0013550800004664,proceedings-article,"Power Marketing Metering, Demand Analysis and Demand Forecasting Based on Deep Learning",Jingyi Xie; Xiaowan Zeng; Liangbin Dong; Xiaoxi Fu; Xinyan Wang; Jianing Liu,6,2025,Proceedings of the 3rd International Conference on Futuristic Technology,SCITEPRESS - Science and Technology Publications,,,0,0,0,
10.4135/9781071853115,https://doi.org/10.4135/9781071853115,other,Forecasting Market Demand,Stephen Ko; Mark Gagnon,2,2021,Market and Competitor Analysis,"SAGE Publications, Inc.",,,0,0,0,
10.14710/agrisocionomics.v8i3.19796,https://doi.org/10.14710/agrisocionomics.v8i3.19796,journal-article,FORECASTING ANALYSIS OF RICE AVAILABILITY AND DEMAND  IN LAMPUNG PROVINCE,Ummu Adilla; Novi Rosanti; Dwi Haryono,3,2024,Agrisocionomics: Jurnal Sosial Ekonomi Pertanian,Institute of Research and Community Services Diponegoro University (LPPM UNDIP),"<jats:p>Lampung Province's population is growing yearly at an average rate of 1.10%. The need for rice in the province of Lampung will continue to increase as the population increases. However, the increase in rice production needs to be balanced with the population growth rate. This study aims to describe the availability and needs of rice in Lampung Province and project the availability and needs of rice in Lampung Province. The method used in this research is descriptive quantitative with a secondary data analysis approach using time series data from 2002 – 2022. The data analysis method used is descriptive quantitative and forecasting using ARIMA. The results showed that the availability and needs in Lampung Province over the past 20 years have always experienced a surplus. The increase in the amount of rice was achieved through the programs launched by the Ministry of Agriculture, including the UPSUS program and the Farmers Success Card. Rice availability and demand in Lampung Province will increase from 2022 - 2032. The results of the forecast of rice availability in Lampung Province increased significantly, where in 2022, it was 1,967,866.72 tons, and in 2032, it could reach 2,075,982.18 tons. Lampung Province's rice demand is predicted to increase significantly, where in 2022, it was 1,005,054.35 tons to 1,314,276.61 in 2032.</jats:p>",,7,0,7,11.0
10.1002/for.70039,https://doi.org/10.1002/for.70039,journal-article,Enhancing Demand Forecasting in Retail: A Comprehensive Analysis of Sales Promotional Effects on the Entire Demand Life Cycle,Harsha Chamara Hewage; H. Niles Perera; Kasun Bandara,3,2026,Journal of Forecasting,Wiley,"<jats:title>ABSTRACT</jats:title>
                  <jats:p>Sales promotions pose challenges to retail operations by causing sudden fluctuations in demand, not only during the promotional period but also across the entire sales promotional life cycle. Previous research has predominantly focused on promotional and nonpromotional periods, often overlooking the postpromotional phase, where demand decreases due to consumer stockpiling during promotions. To address this research gap, we investigate both traditional statistical forecasting methods and contemporary approaches, such as global models, implemented using gradient boosting and deep learning techniques. We assess their performance throughout the entire demand life cycle. We employ the base‐lift approach as our benchmark model, commonly used in the retail sector. Our study results confirm that machine learning methods effectively manage demand volatility induced by retail promotions while enhancing forecast accuracy across the demand life cycle. The base‐lift model performs comparably to alternative machine learning methods, albeit with the additional effort required for data cleansing. Our proposed forecasting framework possesses the capability to automate the retail forecasting process in the presence of sales promotions, facilitating efficient retail planning. Thus, this research introduces a novel demand forecasting framework that considers the complete demand life cycle for generating forecasts, and we rigorously evaluate it using real‐world data.</jats:p>",,65,0,65,1.0
10.1002/9781119135289.ch6,https://doi.org/10.1002/9781119135289.ch6,other,Forecasting Mean Demand,,0,2021,Intermittent Demand Forecasting,Wiley,,,39,0,39,7.0
10.31274/cc-20240624-498,https://doi.org/10.31274/cc-20240624-498,report,Demand Forecasting of Manufacturing data using Machine Learning and Time series Analysis,Kameswari Sai Madhuri Poranki,1,2022,,Iowa State University,,,0,0,0,8.0
10.36227/techrxiv.174474671.12077027/v1,https://doi.org/10.36227/techrxiv.174474671.12077027/v1,posted-content,"Technological Exploration and Case Analysis of Using SAP IBP's Demand Sensing and Statistical Model for Demand Forecasting, Inventory Reduction, and Supply Chain Improvement    ",Peng Lu,1,2025,,Institute of Electrical and Electronics Engineers (IEEE),,,0,0,0,4.0
10.36227/techrxiv.174474671.12077027/v2,https://doi.org/10.36227/techrxiv.174474671.12077027/v2,posted-content,"Technological Exploration and Case Analysis of Using SAP IBP's Demand Sensing and Statistical Model for Demand Forecasting, Inventory Reduction, and Supply Chain Improvement",Peng Lu,1,2025,,Institute of Electrical and Electronics Engineers (IEEE),,,0,0,0,4.0
10.1007/978-3-030-36529-5_2,https://doi.org/10.1007/978-3-030-36529-5_2,book-chapter,Modeling for Energy Demand Forecasting,Wei-Chiang Hong,1,2020,Hybrid Intelligent Technologies in Energy Demand Forecasting,Springer International Publishing,,,76,2,76,
10.2139/ssrn.5312733,https://doi.org/10.2139/ssrn.5312733,posted-content,Comparative Analysis of Explainable Ai Models for Daily Water Demand Forecasting,Rui Li; Kunlun XIN; Weihao Chen,3,2025,,Elsevier BV,,,0,0,0,6.0
10.36227/techrxiv.174586624.45814218/v1,https://doi.org/10.36227/techrxiv.174586624.45814218/v1,posted-content,Efficient Adverse Event Forecasting in Clinical Trials via Transformer-Augmented Survival Analysis,Yachen Wang,1,2025,,Institute of Electrical and Electronics Engineers (IEEE),,,0,2,0,4.0
10.1201/9781003399292-14,https://doi.org/10.1201/9781003399292-14,book-chapter,Forecasting Demand for Paddy and Cotton in India Empirical Analysis Using Machine Learning Models,Aketi Gayatri Jahnavi; Shahid Bashir,2,2024,Artificial Intelligence in Forecasting,CRC Press,,,0,1,0,4.0
10.64559/tasetv1i1a005,https://doi.org/10.64559/tasetv1i1a005,journal-article,"Technological Exploration and Case Analysis of Using SAP IBP's Demand Sensing and Statistical Model for Demand Forecasting, Inventory Reduction, and Supply Chain Improvement",Peng Lu,1,2025,"Transactions on Applied Science, Engineering and Technology",Lanash Press,"<jats:p>This paper explores the innovative use of SAP Integrated Business Planning (IBP)'s demand sensing and statistical model to enhance demand forecasting accuracy, reduce inventory levels, and improve the overall efficiency of the supply chain. Through a real-world case study, we demonstrate the effectiveness of this approach and provide quantitative data, visualizations, and tables to support our findings. The proposed method shows significant potential in revolutionizing traditional supply chain management practices.</jats:p>",,0,0,0,9.0
10.2139/ssrn.5373001,https://doi.org/10.2139/ssrn.5373001,posted-content,Comparative Analysis of Real-Time Industrial Power Demand Forecasting Using Deep Learning Models,Reshmi Krishnan S; Sheeba R,2,2025,,Elsevier BV,,,22,0,22,7.0
10.1002/9781119135289.ch7,https://doi.org/10.1002/9781119135289.ch7,other,Forecasting the Variance of Demand and Forecast Error,,0,2021,Intermittent Demand Forecasting,Wiley,,,31,1,31,7.0
10.2139/ssrn.4457240,https://doi.org/10.2139/ssrn.4457240,posted-content,A Multilingual Ai Talent Demand Analysis and Forecasting Using Semantic Analysis and Multivariant Deep Learning,Jakob Jelencic; M.Besher Massri; Dunja Mladenić; Marko Grobelnik,4,2023,,Elsevier BV,,,32,0,32,5.0
10.5220/0012234700003598,https://doi.org/10.5220/0012234700003598,proceedings-article,Survival Analysis as a Risk Stratification Tool for Threshold Exceedance Forecasting,George Marinos; Manos Karvounis; Ioannis Athanasiadis,3,2023,"Proceedings of the 15th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",SCITEPRESS - Science and Technology Publications,,,0,1,0,
10.1007/978-3-031-58269-1_6,https://doi.org/10.1007/978-3-031-58269-1_6,book-chapter,Demand Forecasting,Kevin Sene,1,2024,Hydrometeorology,Springer Nature Switzerland,,,54,0,54,
10.11594/nstp.2021.1431,https://doi.org/10.11594/nstp.2021.1431,proceedings-article,Demand Forecasting Analysis of Clay Mask Production Using Time Series Method at PT. Molhar,,0,2021,Nusantara Science and Technology Proceedings,Galaxy Science,,,0,0,0,11.0
