doi,title,authors,author_count,year,month,journal,publisher,abstract,subjects,type,url,source,relevance_score,relevance_flags
10.51583/ijltemas.2025.1413sp041,Survival Analysis of Customer Lifetime and Churn Prediction in the Telecom Industry,Akshata Lembhe; Yogita Lagad; Rupali Kamthe; Abhijeet Swami,4,2025,10.0,International Journal of Latest Technology in Engineering Management &amp; Applied Science,RSIS International,"<jats:p>Abstract: Customer churn poses a significant concern for the telecom industry, as it directly affects both revenue generation and the efficiency of operations. To better understand and address this issue, the present analysis applies survival analysis methods to study customer tenure and the likelihood of churn. Specifically, the Kaplan-Meier estimator is utilized to estimate the survival function of telecom customers over time, while the Cox Proportional Hazards model is used to assess the influence of various customer attributes on the risk of churn. The study highlights that several customer-related factors play a crucial role in determining the probability of churn. Among these, the type of contract (e.g., month-to-month vs. long-term), mode of payment (e.g., electronic check, credit card), and access to additional services (like internet or tech support) emerged as statistically significant determinants. For instance, customers on short-term contracts or using certain payment methods exhibited higher churn probabilities compared to those with long-term commitments or bundled services.
The findings emphasize the importance for telecom companies to tailor their retention strategies by focusing on at-risk customer segments. By understanding the survival patterns and the variables most strongly associated with early churn, service providers can design targeted interventions—such as loyalty programs, contract incentives, or personalized communication—to extend customer relationships and improve overall Customer Lifetime Value (CLV). Ultimately, this evidence-based approach can support telecom firms in minimizing customer loss and maintaining long-term profitability.</jats:p>",,journal-article,https://doi.org/10.51583/ijltemas.2025.1413sp041,CrossRef,14,survival:survival analysis; survival:cox proportional hazard; survival:kaplan-meier; survival:survival function; forecasting:customer churn; forecasting:churn prediction; forecasting:customer lifetime
,Estimating Heterogenous Treatment Effects for Survival Data with Doubly Doubly Robust Estimator,Guanghui Pan,1,2024,9,arXiv,arXiv,"In this paper, we introduce a doubly doubly robust estimator for the average and heterogeneous treatment effect for left-truncated-right-censored (LTRC) survival data. In causal inference for survival functions in LTRC survival data, two missing data issues are noteworthy: one is the missing data of counterfactuals for causal inference, and the other is the missing data due to truncation and censoring. Based on previous research on non-parametric deep learning estimation in survival analysis, this paper proposes an algorithm to obtain an efficient estimate of the average and heterogeneous causal effect. We simulate the data and compare our methods with the marginal hazard ratio estimation, the naive plug-in estimation, and the doubly robust causal with Cox Proportional Hazard estimation and illustrate the advantages and disadvantages of the model application.",econ.GN; stat.AP,preprint,http://arxiv.org/abs/2409.01412v1,arXiv,12,survival:survival analysis; survival:cox proportional hazard; survival:survival function; causal:causal inference; causal:counterfactual; causal:treatment effect
10.55640/ijaair-v02i05-01,LEVERAGING DEEP LEARNING IN SURVIVAL ANALYSIS FOR ENHANCED TIME-TO-EVENT PREDICTION,Dr. Kenji Yamamoto; Prof. Lijuan Wang,2,2025,5.0,International Journal of Advanced Artificial Intelligence Research,European International Journal of Multidisciplinary Research and Management Studies,"<jats:p>Survival analysis is a critical statistical approach for modeling time-to-event outcomes across disciplines such as healthcare, engineering, and social sciences. Traditional methods, including Cox proportional hazards models, often struggle with complex, high-dimensional data and non-linear relationships. Recent advancements in deep learning have led to innovative models that significantly enhance survival prediction by capturing intricate patterns and dependencies in time-to-event data. This study explores state-of-the-art deep learning frameworks—such as DeepSurv, DeepHit, and recurrent neural networks—for survival analysis, emphasizing their architecture, performance, and application across diverse datasets. The integration of deep learning enables more accurate risk estimation and personalized prognostics, revolutionizing predictive modeling in survival data contexts. We also discuss challenges related to interpretability, data censoring, and model evaluation, proposing future research directions for robust and explainable deep survival models.</jats:p>",,journal-article,https://doi.org/10.55640/ijaair-v02i05-01,CrossRef,10,survival:survival analysis; survival:survival model; survival:time-to-event; survival:cox proportional hazard; survival:deep survival
10.35774/econa2025.01.112,Survival analysis as a tool for predicting and reducing customer churn,Yurii Kleban; Viktoriia Mazurenko,2,2025,,Economic Analysis,West Ukrainian National University,"<jats:p>Introduction. Customer churn is one of the key challenges in the telecommunications sector, significantly impacting companies' financial performance. Losing customers leads to substantial economic losses, as acquiring new users is typically more expensive than retaining existing ones. This creates a need for the development of effective analytical approaches to predict customer churn and identify the factors influencing it.
Objective. This study aims to assess the effectiveness of survival analysis methods in predicting customer churn in the telecommunications sector. The primary objective is to identify key factors affecting churn rates and evaluate the impact of targeted retention strategies on customer behaviour.
 Methodology. The study employs survival analysis methods to evaluate customer churn dynamics. The Kaplan-Meier estimator is used to analyse the temporal patterns of customer retention, identifying high-risk periods. The Cox proportional hazards model is applied to determine the influence of various factors on churn probability. The dataset consists of real-world telecommunications customer data, including demographic characteristics, contract details, and financial indicators. Preprocessing steps include data cleaning, feature selection, and transformation of categorical variables into numerical format. Model performance is evaluated using metrics such as the Concordance Index (C-index) and Brier Score. Finally, A/B testing is conducted to assess the effectiveness of retention strategies in reducing customer churn.
Results. The findings indicate that the highest risk of churn occurs within the first 20 months after subscription activation. It was determined that long-term contracts and high-quality service reduce the likelihood of churn, whereas high monthly costs and certain payment methods increase it. The developed predictive models achieved an accuracy level of 85–87%. Implemented retention strategies within A/B testing resulted in an increase in the retention rate from 74% to 91%.
 The proposed methods can be applied by telecommunications companies, financial institutions, and other businesses operating in the subscription-based service industry to enhance loyalty programs and reduce customer churn.</jats:p>",,journal-article,https://doi.org/10.35774/econa2025.01.112,CrossRef,10,survival:survival analysis; survival:cox proportional hazard; survival:kaplan-meier; forecasting:customer churn; forecasting:customer retention
,e-Profits: A Business-Aligned Evaluation Metric for Profit-Sensitive Customer Churn Prediction,Awais Manzoor; M. Atif Qureshi; Etain Kidney; Luca Longo,4,2025,7,arXiv,arXiv,"Retention campaigns in customer relationship management often rely on churn prediction models evaluated using traditional metrics such as AUC and F1-score. However, these metrics fail to reflect financial outcomes and may mislead strategic decisions. We introduce e-Profits, a novel business-aligned evaluation metric that quantifies model performance based on customer lifetime value, retention probability, and intervention costs. Unlike existing profit-based metrics such as Expected Maximum Profit, which assume fixed population-level parameters, e-Profits uses Kaplan-Meier survival analysis to estimate tenure-conditioned (customer-level) one-period retention probabilities and supports granular, per-customer profit evaluation. We benchmark six classifiers across two telecom datasets (IBM Telco and Maven Telecom) and demonstrate that e-Profits reshapes model rankings compared to traditional metrics, revealing financial advantages in models previously overlooked by AUC or F1-score. The metric also enables segment-level insight into which models maximise return on investment for high-value customers. e-Profits provides a transparent, customer-level evaluation framework that bridges predictive modelling and profit-driven decision-making in operational churn management. All source code is available at: https://github.com/Awaismanzoor/eprofits.",cs.LG,preprint,http://arxiv.org/abs/2507.08860v2,arXiv,10,survival:survival analysis; survival:kaplan-meier; forecasting:customer churn; forecasting:churn prediction; forecasting:customer lifetime
10.1093/obo/9780199756384-0240,Causal Inference,Pablo Geraldo Bastías; Jennie E. Brand,2,2020,2.0,Sociology,Oxford University Press,"<p>Causal inference is a growing interdisciplinary subfield in statistics, computer science, economics, epidemiology, and the social sciences. In contrast with both traditional quantitative methods and cutting-edge approaches like machine learning, causal inference questions are defined in relation to potential outcomes, or variable values that are counterfactual to the observed world and therefore cannot be answered from joint probabilities alone, even with infinite data. The fact that one can possibly observe at most one potential outcome among those of interest is known as the “fundamental problem of causal inference.” For example, in this framework, the economic return to college education can be defined as a comparison between two potential outcomes: the wages of an individual with a college education versus the wages that the same individual would have received had he or she not attended college. In general, researchers are interested in estimating such effects for certain groups and comparing the effects for different subpopulations. Critical to causal inference is recognizing that, to answer causal questions from observed data, one has to rely on untestable assumptions about how the data were generated. In other words, there is no particular statistical method that would render a conclusion “causal”; the validity of such an interpretation depends on a combination of data, assumptions about the data-generating process based on expert judgment, and estimation techniques. In the last several decades, our understanding of causality has improved enormously, owing to a conceptual apparatus and a mathematical language that enables rigorous conceptualization of causal quantities and formal representation of causal assumptions, while still employing familiar statistical methods. Potential outcomes or the Neyman-Rubin causal model and structural equations encoded as directed acyclic graphs (DAGs, also known as structural causal models) are two common approaches for conceptualizing causal relationships. The symbiosis of both languages offers a powerful framework to address causal questions. This review covers developments in both causal identification (i.e., deciding if a quantity of interest would be recoverable from infinite data, based on our assumptions) and causal effect estimation (i.e., the use of statistical methods to approximate that answer with finite, although potentially big, data). The literature is presented following the type of assumptions and questions frequently encountered in empirical research, ending with a discussion of promising new directions in the field.</p>",,reference-entry,https://doi.org/10.1093/obo/9780199756384-0240,CrossRef,8,causal:causal inference; causal:causal model; causal:structural causal; causal:counterfactual
10.15611/eada.2024.2.04,Default Prediction Using the Cox Regression Model and Macroeconomic Conditions – A Lifetime Perspective,Aneta Ptak-Chmielewska; Juan Pablo Espinosa Gonzalez,2,2024,,Econometrics,Wroclaw University of Economics and Business,"<jats:p>Aim: Since the implementation of International Financial Reporting Standards 9 (IFRS 9), several techniques on estimating the risk parameters for calculating the expected credit losses (ECL) have been implemented across financial institutions. The purpose of this study was to present the advantages of using survival analysis for the estimation of the probability of default (PD) given the particularity of the method, within the estimation of the time up to an event occurring. Methodology: The Cox Proportional Hazard Rate was selected as the model to predict the default incorporating the time to event and the macroeconomic conditions into the model. At the end of this research a validation was performed of the accuracy of the survival method through the time. Results: The ROC curve and concordance statistics were evaluated on different time points, the survival model shows a consistent high discriminatory power in terms of the AUC over each time horizon. The results revealed that time dependent ROC curves for the selected years from 1 to 4 and the first year have the largest area under the curve (AUC). The time dependent curve is evaluated at all event times under the 95% pointwise confidence limits of the fitted model, the AUC was on average around 0.8, with the highest values in the first years. Implications and recommendations: The results are promising for PD estimation in a lifetime perspective. This method is accurate for IFRS9 ECL purposes as time varying internal (portfolio characteristics) and external (macroeconomic) factors can be incorporated. The dynamic model incorporates the variability and changes of the variables from the past up to now. Originality/value: To date the survival analysis techniques were used mostly for PD estimations but not in a IFRS9 ECL perspective. Given the nature of this method of estimating the remaining lifetime perspective and the inclusion into the model of the macro variables, this model can be considered adequate according to IFRS9. The paper aimed to present their uses for lifetime prediction.</jats:p>",,journal-article,https://doi.org/10.15611/eada.2024.2.04,CrossRef,8,survival:survival analysis; survival:survival model; survival:cox proportional hazard; survival:cox regression
,TraCeR: Transformer-Based Competing Risk Analysis with Longitudinal Covariates,Maxmillan Ries; Sohan Seth,2,2025,12,arXiv,arXiv,"Survival analysis is a critical tool for modeling time-to-event data. Recent deep learning-based models have reduced various modeling assumptions including proportional hazard and linearity. However, a persistent challenge remains in incorporating longitudinal covariates, with prior work largely focusing on cross-sectional features, and in assessing calibration of these models, with research primarily focusing on discrimination during evaluation. We introduce TraCeR, a transformer-based survival analysis framework for incorporating longitudinal covariates. Based on a factorized self-attention architecture, TraCeR estimates the hazard function from a sequence of measurements, naturally capturing temporal covariate interactions without assumptions about the underlying data-generating process. The framework is inherently designed to handle censored data and competing events. Experiments on multiple real-world datasets demonstrate that TraCeR achieves substantial and statistically significant performance improvements over state-of-the-art methods. Furthermore, our evaluation extends beyond discrimination metrics and assesses model calibration, addressing a key oversight in literature.",cs.LG; stat.ML,preprint,http://arxiv.org/abs/2512.18129v2,arXiv,8,survival:survival analysis; survival:time-to-event; survival:hazard function; survival:censored data
10.31234/osf.io/b3fkw,An Introduction to Causal Inference,Fabian Dablander,1,2020,2.0,,Center for Open Science,"<p>Causal inference goes beyond prediction by modeling the outcome of interventions and formalizing counterfactual reasoning. Instead of restricting causal conclusions to experiments, causal inference explicates the conditions under which it is possible to draw causal conclusions even from observational data. In this paper, I provide a concise introduction to the graphical approach to causal inference, which uses Directed Acyclic Graphs (DAGs) to visualize, and Structural Causal Models (SCMs) to relate probabilistic and causal relationships. Successively, we climb what Judea Pearl calls the ""causal hierarchy"" --- moving from association to intervention to counterfactuals. I explain how DAGs can help us reason about associations between variables as well as interventions; how the do-calculus leads to a satisfactory definition of confounding, thereby clarifying, among other things, Simpson's paradox; and how SCMs enable us to reason about what could have been. Lastly, I discuss a number of challenges in applying causal inference in practice.</p>",,posted-content,https://doi.org/10.31234/osf.io/b3fkw,CrossRef,8,causal:causal inference; causal:causal model; causal:structural causal; causal:counterfactual
10.1002/sim.70161,The Impact of Violation of the Proportional Hazards Assumption on the Calibration of the Cox Proportional Hazards Model,Peter C. Austin; Daniele Giardiello,2,2025,6.0,Statistics in Medicine,Wiley,"<jats:title>ABSTRACT</jats:title><jats:p>The Cox proportional hazards regression model is frequently used to develop clinical prediction models for time‐to‐event outcomes, allowing clinicians to estimate an individual's risk of experiencing the outcome within specified time horizons (e.g., estimate an individual's 10‐year risk of death). The Cox regression model models the association between covariates and the hazard of the outcome. A key assumption of the Cox model is the proportional hazards assumption: the ratio of the hazard function for any two individuals is constant over time, and the ratio is a function of only their covariates and the regression coefficients. Calibration is an important aspect of the validation of clinical prediction models. Calibration refers to the concordance between predicted and observed risk. The impact of the violation of the proportional hazards assumption on the calibration of clinical prediction models developed using the Cox model has not been examined. We conducted a set of Monte Carlo simulations to assess the impact of the magnitude of the violation of the proportional hazards assumption on the calibration of the Cox model. We compared the calibration of predictions obtained using a Cox regression model that ignored the violation of the proportional hazards assumption with those obtained using accelerated failure time (AFT) models, Royston and Parmar's spline‐based parametric survival models, and generalized linear models using pseudo‐observations. We found that violation of the proportional hazards assumption had negligible impact on the calibration of predictions obtained using a Cox model.</jats:p>",,journal-article,https://doi.org/10.1002/sim.70161,CrossRef,8,survival:survival model; survival:cox proportional hazard; survival:cox regression; survival:hazard function
10.3233/SHTI240732,Predicting a Risk of Transition to a Higher Level of Care for Home Support Service Recipients.,Junko Fukui Innes; Abdul Vahabpour Roudsari; Karen L Courtney; Mary Ellen Purkis,4,2024,Aug,Studies in health technology and informatics,PubMed,"This longitudinal, non-randomized, retrospective study uses the Kaplan-Meier estimates method and the Cox Proportional Hazard model to assess the risk of home support recipients' transitioning to a higher level of care after being hospitalized. The Kaplan-Meier survival analysis revealed that 50% of home support recipients were expected to move on to a higher level of care by day 1,374. The Cox Proportional Hazard model indicated that the risk of transitioning to a higher level of care increases by about 2% as a client ages by one year, and by about 10% if there were no emergency room visits in the last 12 months. Also, the risk will decrease by about 13% if an individual is getting more than one hour of home support service per visit on average, compared to those who are receiving less than one hour of home support services per visit. These results will help project long term home support demand and resource planning for home support and the health care system.",Humans; Home Care Services; Female; Retrospective Studies; Male; Aged; Middle Aged; Longitudinal Studies; Proportional Hazards Models; Risk Assessment; Adult,journal-article,https://pubmed.ncbi.nlm.nih.gov/39176519,PubMed,8,survival:survival analysis; survival:hazard model; survival:cox proportional hazard; survival:kaplan-meier
10.30574/wjarr.2025.26.1.1045,Algorithmic customer churn prediction and targeted intervention: Optimizing customer lifetime value in data-sparse SME environments,Daria Kalishina,1,2025,4.0,World Journal of Advanced Research and Reviews,GSC Online Press,"<jats:p>This research endeavors to elucidate the application of advanced analytical methodologies for the predictive modeling and mitigation of customer attrition within the data-sparse ecosystem of Small and Medium-sized Enterprises (SMEs). Utilizing a synthesis of L1-regularized logistic regression and reinforcement learning paradigms, the study demonstrates the operational efficacy of sophisticated machine learning techniques within environments characterized by data paucity. Granular customer segmentation, predicated upon probabilistic churn risk assessments, and a detailed feature importance analysis identified salient predictors of attrition, thereby enabling the development of targeted intervention protocols. The implementation of reinforcement learning-driven personalized communication campaigns, specifically via electronic mail, yielded statistically significant reductions in customer attrition rates and a concomitant augmentation of Customer Lifetime Value (CLV), underscoring the pragmatic utility of adaptive, data-driven strategies. This research addresses the unique challenges inherent in SME environments, particularly the effective deployment of advanced analytics amidst data scarcity. Key findings demonstrate that even within data-constrained contexts, robust predictive models and personalized intervention strategies can significantly optimize customer retention. Furthermore, the analysis emphasizes the criticality of ethical considerations, encompassing data privacy and algorithmic fairness, within the domain of SME data analytics. The findings proffer actionable insights for SMEs seeking to optimize customer retention and achieve sustainable growth through the strategic application of advanced analytical frameworks.</jats:p>",,journal-article,https://doi.org/10.30574/wjarr.2025.26.1.1045,CrossRef,8,forecasting:customer churn; forecasting:churn prediction; forecasting:customer lifetime; forecasting:customer retention
